company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Ram Ratna Wires Limited,RAMRAT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118095_1365470_30012025120650.xml
Rama Phosphates Limited,RAMAPHO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120249_1381908_13022025042106.xml
Rama Steel Tubes Limited,RAMASTEEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120884_1386156_15022025024941.xml
Ramco Industries Limited,RAMCOIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119340_1376238_10022025021957.xml
Ramco Systems Limited,RAMCOSYS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118781_1372154_05022025083036.xml
Ramkrishna Forgings Limited,RKFORGE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120953_1387940_20022025010739.xml
Ramky Infrastructure Limited,RAMKY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119707_1378700_11022025072154.xml
Rana Sugars Limited,RANASUG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120979_1391049_28022025060723.xml
Rane (Madras) Limited,RML,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118206_1366531_30012025072049.xml
Rane Brake Lining Limited,RBL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117899_1363562_28012025063509.xml
Rane Engine Valve Limited,RANEENGINE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118047_1364941_29012025061351.xml
Rane Holdings Limited,RANEHOLDIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118887_1373146_06022025051657.xml
Rashi Peripherals Limited,RPTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120033_1380544_12022025070100.xml
Rashtriya Chemicals and Fertilizers Limited,RCF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120947_1387078_18022025034436.xml
Rategain Travel Technologies Limited,RATEGAIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120491_1383653_14022025015703.xml
Ratnamani Metals & Tubes Limited,RATNAMANI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120180_1381465_13022025014537.xml
Ratnaveer Precision Engineering Limited,RATNAVEER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117897_1363549_28012025062758.xml
RattanIndia Enterprises Limited,RTNINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118612_1370647_04022025055539.xml
RattanIndia Power Limited,RTNPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117492_1357221_22012025054726.xml
Ravi Kumar Distilleries Limited,RKDL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119815_1379323_12022025013423.xml
Ravinder Heights Limited,RVHL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121063_1397705_19032025034933.xml
Ravindra Energy Limited,RELTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118761_1371899_05022025060851.xml
Raymond Lifestyle Limited,RAYMONDLSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118124_1365720_30012025030016.xml
Raymond Limited,RAYMOND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118015_1364669_29012025050103.xml
Redington Limited,REDINGTON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118872_1373002_06022025043706.xml
Redtape Limited,REDTAPE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119892_1379835_12022025044233.xml
Refex Industries Limited,REFEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117814_1362610_28012025112739.xml
Regency Ceramics Limited,REGENCERAM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120701_1385098_14022025064718.xml
Relaxo Footwears Limited,RELAXO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118336_1367613_31012025060255.xml
Reliable Data Services Limited,RELIABLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120852_1385991_15022025123925.xml
Reliance Chemotex Industries Limited,RELCHEMQ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119801_1379224_12022025123804.xml
Reliance Communications Limited,RCOM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119000_1374038_07022025124809.xml
Reliance Home Finance Limited,RHFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119727_1378792_11022025080240.xml
Reliance Industrial Infrastructure Limited,RIIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117244_1346347_15012025052332.xml
Reliance Industries Limited,RELIANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117298_1348254_16012025082021.xml
Reliance Infrastructure Limited,RELINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120795_1385730_15022025123930.xml
Reliance Power Limited,RPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118788_1372198_05022025092817.xml
Religare Enterprises Limited,RELIGARE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118524_1369681_03022025093829.xml
Remsons Industries Limited,REMSONSIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119034_1374280_07022025030619.xml
Renaissance Global Limited,RGL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120450_1383406_14022025121215.xml
Repco Home Finance Limited,REPCOHOME,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120062_1380738_12022025080758.xml
Repro India Limited,REPRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120066_1380756_12022025081359.xml
Responsive Industries Limited,RESPONIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119418_1376860_10022025061141.xml
Restaurant Brands Asia Limited,RBA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118026_1364762_29012025051834.xml
Revathi Equipment India Limited,RVTH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120929_1386447_15022025104510.xml
Rico Auto Industries Limited,RICOAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120112_1381041_13022025110627.xml
Rishabh Instruments Limited,RISHABH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119088_1374673_07022025053625.xml
Ritco Logistics Limited,RITCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119825_1379372_12022025015521.xml
Robust Hotels Limited,RHL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118916_1373434_06022025062658.xml
Rolex Rings Limited,ROLEXRINGS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120579_1384244_14022025042425.xml
Rollatainers Limited,ROLLT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120468_1383523_14022025125655.xml
Rolta India Limited,ROLTA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Rossari Biotech Limited,ROSSARI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117452_1356457_21012025083704.xml
Rossell India Limited,ROSSELLIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117791_1362404_27012025075855.xml
Rossell Techsys Limited,ROSSTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118978_1373847_07022025095638.xml
Roto Pumps Limited,ROTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120181_1381463_13022025014533.xml
Royal Orchid Hotels Limited,ROHLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120097_1380946_13022025101310.xml
Rubfila International Limited,RUBFILA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120095_1380934_13022025090539.xml
Ruchi Infrastructure Limited,RUCHINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118823_1372509_06022025013754.xml
Ruchira Papers Limited,RUCHIRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120202_1381583_13022025023953.xml
Rudrabhishek Enterprises Limited,REPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120694_1385044_14022025063613.xml
Rupa & Company Limited,RUPA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119042_1374314_07022025031224.xml
Rushabh Precision Bearings Limited,RUSHABEAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120381_1382802_13022025072325.xml
Rushil Decor Limited,RUSHIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117841_1363013_28012025040516.xml
S Chand And Company Limited,SCHAND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119077_1374610_07022025051955.xml
S H Kelkar and Company Limited,SHK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120024_1380500_12022025064614.xml
S&S Power Switchgears Limited,S&SPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120115_1381072_13022025113024.xml
S. P. Apparels Limited,SPAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119530_1377595_11022025120635.xml
S.A.L. Steel Limited,SALSTEEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119813_1379314_12022025013116.xml
S.J.S. Enterprises Limited,SJS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118271_1367095_31012025024834.xml
S.S. INFRASTRUCTURE DEVELOPMENT CONSULTANTS LIMITED,SSINFRA,NSE,Fourth Quarter,2022-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SABAR FLEX INDIA LIMITED,SABAR,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SADHAV SHIPPING LIMITED,SADHAV,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_115860_1310209_14112024105202.xml
SAGILITY LIMITED,SAGILITY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118780_1372149_05022025083011.xml
SAHANA SYSTEM LIMITED,SAHANA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117120_1330032_23122024112843.xml
SAHASRA ELECTRONIC SOLUTIONS LIMITED,SAHASRA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117066_1322303_03122024011920.xml
SALASAR EXTERIORS AND CONTOUR LIMITED,SECL,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SAMEERA AGRO AND INFRA LIMITED,SAIFL,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116858_1315728_15112024074041.xml
SAR TELEVENTURE LIMITED,SARTELE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_120508_1383794_14022025030111.xml
SBC Exports Limited,SBC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117721_1361276_25012025033440.xml
SBFC Finance Limited,SBFC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117742_1361409_25012025052202.xml
SBI Cards and Payment Services Limited,SBICARD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117923_1363796_28012025085741.xml
SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120737_1385341_14022025073623.xml
SEL Manufacturing Company Limited,SELMC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120571_1384166_14022025040624.xml
SEPC Limited,SEPC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120369_1382722_13022025065954.xml
SERVICE CARE LIMITED,SERVICE,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121075_1398656_21032025021152.xml
SHERA ENERGY LIMITED,SHERA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117965_1364247_29012025021038.xml
SHIGAN QUANTUM TECHNOLOGIES LIMITED,SHIGAN,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SHIV AUM STEELS LIMITED,SHIVAUM,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SHREE CEMENT LIMITED,SHREECEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118194_1366426_30012025065152.xml
SHREE TIRUPATI BALAJEE FIBC LIMITED,TIRUPATI,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SHRI RAM SWITCHGEARS LIMITED,SRIRAM,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SHUBHLAXMI JEWEL ART LIMITED,SHUBHLAXMI,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SIDDHIKA COATINGS LIMITED,SIDDHIKA,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SIGMA ADVANCED SYSTEMS LIMITED,SIGMAADV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120700_1385095_14022025064649.xml
SIL Investments Limited,SILINV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120000_1380401_12022025063049.xml
SIS LIMITED,SIS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117948_1364038_29012025113917.xml
SJVN Limited,SJVN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120425_1383212_14022025110239.xml
SKF India Limited,SKFINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120063_1380742_12022025081003.xml
SKM Egg Products Export (India) Limited,SKMEGGPROD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119206_1375340_08022025094824.xml
SKP BEARING INDUSTRIES LIMITED,SKP,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SKS TEXTILES LIMITED,SKSTEXTILE,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SKY GOLD AND DIAMONDS LIMITED,SKYGOLD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118456_1368877_03022025022917.xml
SMC Global Securities Limited,SMCGLOBAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118090_1365285_29012025090320.xml
SML Mahindra Limited,SMLMAH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119006_1374109_07022025014055.xml
SMS Pharmaceuticals Limited,SMSPHARMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120049_1380649_12022025073038.xml
SMVD POLY PACK LIMITED,SMVD,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SOLEX ENERGY LIMITED,SOLEX,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SONAM LIMITED,SONAMLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118457_1368920_03022025030014.xml
SONI SOYA PRODUCTS LIMITED,SONISOYA,NSE,Second Quarter,2019-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SONU INFRATECH LIMITED,SONUINFRA,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SOTAC PHARMACEUTICALS LIMITED,SOTAC,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SPL Industries Limited,SPLIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120546_1384000_14022025034155.xml
SPML Infra Limited,SPMLINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120609_1384436_14022025045716.xml
SPR Auto Technologies Limited,SHRIPISTON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118502_1369502_03022025064630.xml
SRF Limited,SRF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118046_1364938_29012025061206.xml
SRG Housing Finance Limited,SRGHFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118420_1368300_01022025014022.xml
SRIVASAVI ADHESIVE TAPES LIMITED,SRIVASAVI,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SRM Contractors Limited,SRM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119714_1378728_11022025073110.xml
STEEL EXCHANGE INDIA LIMITED,STEELXIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117724_1361308_25012025041841.xml
STL Global Limited,SGL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119556_1377790_11022025022032.xml
SUPREME (INDIA) IMPEX LIMITED,SIIL,NSE,Fourth Quarter,2018-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SUUMAYA INDUSTRIES LIMITED,SUULD,NSE,Fourth Quarter,2019-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
SVP GLOBAL TEXTILES LIMITED,SVPGLOB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120876_1386115_15022025021328.xml
SWAN CORP LIMITED,SWANCORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120653_1384749_14022025054948.xml
SYLVAN PLYBOARD (INDIA) LIMITED,SYLVANPLY,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_109205_1197373_20072024033300.xml
Sab Events & Governance Now Media Limited,SABEVENTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118415_1368243_01022025123101.xml
Sadbhav Engineering Limited,SADBHAV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120925_1386393_15022025060230.xml
Sadbhav Infrastructure Project Limited,SADBHIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120230_1381792_13022025035105.xml
Sadhana Nitrochem Limited,SADHNANIQ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118532_1369829_04022025120437.xml
Safari Industries (India) Limited,SAFARI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118597_1370460_04022025050410.xml
Sagar Cements Limited,SAGCEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117695_1361069_25012025115019.xml
Sagardeep Alloys Limited,SAGARDEEP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119819_1379336_12022025013651.xml
Sahyadri Industries Limited,SAHYADRI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118882_1373083_06022025050348.xml
Sai Life Sciences Limited,SAILIFE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119051_1374417_07022025040212.xml
Sai Silks (Kalamandir) Limited,KALAMANDIR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121001_1393488_07032025124126.xml
Sakar Healthcare Limited,SAKAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119216_1375431_08022025125048.xml
Saksoft Limited,SAKSOFT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118488_1369355_03022025055722.xml
Sakthi Sugars Limited,SAKHTISUG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120420_1383138_14022025100815.xml
Sakuma Exports Limited,SAKUMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120617_1384491_14022025051140.xml
Salasar Techno Engineering Limited,SALASAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120920_1386363_15022025054213.xml
Salona Cotspin Limited,SALONA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120109_1381017_13022025105417.xml
Salzer Electronics Limited,SALZERELEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121057_1396800_17032025052023.xml
Sambhaav Media Limited,SAMBHAAV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119355_1376371_10022025032730.xml
Samhi Hotels Limited,SAMHI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118061_1365064_29012025070217.xml
Sammaan Capital Limited,SAMMAANCAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119784_1379133_12022025120258.xml
Sampann Utpadan India Limited,SAMPANN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117633_1360486_24012025051518.xml
Samvardhana Motherson International Limited,MOTHERSON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120613_1384471_14022025050649.xml
Sanathan Textiles Limited,SANATHAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119410_1376804_10022025060007.xml
Sandhar Technologies Limited,SANDHAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120059_1380710_12022025074417.xml
Sandur Manganese & Iron Ores Limited,SANDUMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120813_1385820_15022025113454.xml
Sangam (India) Limited,SANGAMIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120123_1381149_13022025120936.xml
Sanghi Industries Limited,SANGHIIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117794_1362422_27012025082638.xml
Sanghvi Movers Limited,SANGHVIMOV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120237_1381849_13022025040440.xml
Sanginita Chemicals Limited,SANGINITA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117273_1347465_16012025040952.xml
Sanofi Consumer Healthcare India Limited,SANOFICONR,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120960_1388722_21022025055755.xml
