company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Akash Infra Projects Limited,AKASH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120848_1385973_15022025123343.xml
Akg Exim Limited,AKG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117513_1358890_23012025110037.xml
Akme Fintrade (India) Limited,AFIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119213_1375409_08022025122053.xml
Aksh Optifibre Limited,AKSHOPTFBR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120390_1382847_13022025074025.xml
Akshar Spintex Limited,AKSHAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120586_1384288_14022025043125.xml
AksharChem India Limited,AKSHARCHEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121008_1393538_07032025012313.xml
Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118923_1373501_06022025064400.xml
Alankit Limited,ALANKIT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118195_1366436_30012025065448.xml
Albert David Limited,ALBERTDAVD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119971_1380225_12022025055654.xml
Alembic Limited,ALEMBICLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119132_1374942_07022025064917.xml
Alembic Pharmaceuticals Limited,APLLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118469_1369106_03022025043256.xml
Alicon Castalloy Limited,ALICON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121065_1397895_19032025060353.xml
Alivus Life Sciences Limited,ALIVUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117546_1359370_23012025051508.xml
Alkali Metals Limited,ALKALI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118148_1365929_30012025042605.xml
Alkem Laboratories Limited,ALKEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119182_1375240_07022025092546.xml
Alkyl Amines Chemicals Limited,ALKYLAMINE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117691_1361009_24012025104236.xml
Allcargo Gati Limited,ACLGATI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119037_1374291_07022025030818.xml
Allcargo Logistics Limited,ALLCARGO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120577_1384229_14022025042000.xml
Allcargo Terminals Limited,ATL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119494_1377351_10022025094233.xml
Alldigi Tech Limited,ALLDIGI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117541_1359276_23012025041210.xml
